year,team,off_epa_per_play,off_sr,off_dropback_epa_per_play,dropback_sr,off_rush_epa_per_play,off_rush_st,def_epa_per_play,def_sr,def_dropback_epa_per_play,def_dropback_sr,def_rush_epa_per_play,def_rush_sr,hex,made_playoffs,made_cg,made_sb,won_sb,pd
2022,ARI,-0.029,42.10%,-0.013,43.20%,-0.06,39.90%,0.035,49.60%,0.089,53.30%,-0.058,43.50%,#97233F,0,0,0,0
2022,ATL,0.023,46.50%,0.053,48.60%,-0.006,44.40%,0.078,48.90%,0.127,51.80%,0.005,44.60%,#a71930,0,0,0,0
2022,BAL,0.06,47.30%,0.045,47.00%,0.078,47.70%,0.016,45.30%,0.045,46.90%,-0.053,41.70%,#241773,1,0,0,0
2022,BUF,0.117,50.30%,0.236,53.70%,-0.13,43.20%,-0.031,45.60%,0.012,47.70%,-0.117,41.40%,#00338D,1,0,0,0
2022,CAR,-0.11,37.90%,-0.178,35.50%,-0.014,41.20%,0.004,44.70%,0.055,46.00%,-0.065,43.00%,#0085CA,0,0,0,0
2022,CHI,0.024,42.70%,0.03,44.30%,0.019,41.10%,0.091,47.60%,0.195,51.00%,-0.029,43.60%,#0B162A,0,0,0,0
2022,CIN,0.108,48.60%,0.179,50.80%,-0.034,44.10%,-0.025,42.40%,-0.033,42.70%,-0.013,41.90%,#fb4f14,1,1,0,0
2022,CLE,0.073,46.90%,0.114,47.60%,0.018,45.90%,0.123,46.90%,0.121,47.90%,0.125,45.60%,#311D00,0,0,0,0
2022,DAL,0.032,45.10%,0.047,46.40%,0.014,43.50%,-0.086,40.90%,-0.108,43.20%,-0.055,37.60%,#041E42,1,0,0,0
2022,DEN,-0.068,39.30%,-0.002,40.20%,-0.181,37.80%,-0.091,40.70%,-0.101,41.00%,-0.074,40.20%,#FB4F14,0,0,0,0
2022,DET,0.015,44.70%,0.066,46.70%,-0.056,42.00%,0.123,48.60%,0.176,51.00%,0.042,44.90%,#0076b6,0,0,0,0
2022,GB,-0.015,45.20%,-0.004,45.10%,-0.031,45.50%,0.036,45.60%,0.053,46.10%,0.016,45.00%,#203731,0,0,0,0
2022,HOU,-0.119,39.40%,-0.142,39.00%,-0.076,40.20%,0.067,46.10%,0.123,47.10%,0.009,45.10%,#03202f,0,0,0,0
2022,IND,-0.126,40.80%,-0.082,43.80%,-0.208,35.20%,-0.054,43.40%,0.013,46.50%,-0.141,39.50%,#002C5F,0,0,0,0
2022,JAX,0.05,47.40%,0.118,50.80%,-0.051,42.50%,0.024,43.90%,0.087,46.60%,-0.084,39.30%,#006778,1,0,0,0
2022,KC,0.204,49.30%,0.316,53.30%,-0.053,40.20%,0.042,45.60%,0.086,46.60%,-0.049,43.50%,#E31837,1,1,1,1,67
2022,LA,-0.115,41.00%,-0.101,46.80%,-0.141,29.90%,-0.003,42.30%,0.105,47.70%,-0.173,33.80%,#003594,0,0,0,0
2022,LAC,-0.003,42.60%,0.039,44.70%,-0.091,38.20%,0.072,46.30%,0.086,46.50%,0.052,46.10%,#0080C6,1,0,0,0
2022,LV,0.026,42.70%,0.092,43.00%,-0.096,42.30%,0.09,48.40%,0.224,52.50%,-0.107,42.40%,#000000,0,0,0,0
2022,MIA,0.136,48.10%,0.245,51.40%,-0.065,42.10%,0.054,46.30%,0.136,50.20%,-0.097,38.90%,#008E97,1,0,0,0
2022,MIN,-0.007,45.20%,0.019,47.20%,-0.059,41.10%,0.01,46.30%,0.079,48.60%,-0.106,42.50%,#4F2683,1,0,0,0
2022,NE,-0.061,42.10%,-0.046,44.70%,-0.082,38.50%,-0.139,39.70%,-0.165,38.60%,-0.096,41.40%,#002244,0,0,0,0
2022,NO,-0.009,47.20%,0.033,49.00%,-0.075,44.40%,0.011,43.00%,0.081,44.90%,-0.087,40.40%,#D3BC8D,0,0,0,0
2022,NYG,0.054,43.80%,0.108,47.00%,-0.017,39.70%,0.043,44.20%,0.073,45.70%,-0.005,41.70%,#0B2265,1,0,0,0
2022,NYJ,-0.068,39.60%,-0.082,41.10%,-0.043,36.90%,-0.058,43.10%,-0.038,43.60%,-0.089,42.40%,#125740,0,0,0,0
2022,PHI,0.094,49.20%,0.125,47.20%,0.054,51.70%,-0.081,43.70%,-0.141,42.00%,0.02,46.60%,#004C54,1,1,1,0,82
2022,PIT,-0.052,42.00%,-0.072,42.90%,-0.014,40.30%,0.059,44.00%,0.12,47.00%,-0.049,38.70%,#FFB612,0,0,0,0
2022,SEA,0.063,46.10%,0.119,52.50%,-0.033,35.10%,0.041,41.70%,0.107,45.00%,-0.054,36.80%,#002244,1,0,0,0
2022,SF,0.065,46.70%,0.162,48.70%,-0.059,44.00%,-0.066,40.20%,-0.044,43.50%,-0.107,34.10%,#AA0000,1,1,0,0
2022,TB,-0.004,45.40%,0.103,49.80%,-0.231,35.90%,-0.036,42.70%,-0.028,44.00%,-0.048,40.70%,#D50A0A,1,0,0,0
2022,TEN,-0.009,43.20%,0.064,47.30%,-0.083,38.90%,-0.026,40.10%,0.035,43.60%,-0.174,31.30%,#0C2340,0,0,0,0
2022,WAS,-0.063,40.90%,-0.053,42.40%,-0.078,38.60%,-0.053,40.10%,0.006,42.70%,-0.156,35.50%,#5A1414,0,0,0,0
2023,ARI,-0.128,40.40%,-0.171,40.80%,-0.058,39.70%,0.048,46.70%,0.136,49.90%,-0.067,42.60%,#97233F,0,0,0,0
2023,ATL,-0.088,41.30%,-0.051,46.20%,-0.138,34.70%,-0.034,40.90%,0.065,42.70%,-0.188,38.20%,#a71930,0,0,0,0
2023,BAL,0.059,47.40%,0.067,48.00%,0.049,46.70%,-0.133,40.20%,-0.136,41.00%,-0.126,38.60%,#241773,1,1,0,0
2023,BUF,0.114,50.10%,0.171,52.10%,0.015,46.50%,-0.034,43.30%,-0.005,46.50%,-0.09,36.90%,#00338D,1,0,0,0
2023,CAR,-0.151,38.50%,-0.146,39.20%,-0.163,37.00%,0.054,46.00%,0.037,46.60%,0.073,45.20%,#0085CA,0,0,0,0
2023,CHI,-0.059,44.50%,-0.078,45.80%,-0.034,42.80%,0.039,43.50%,0.148,48.70%,-0.175,33.30%,#0B162A,0,0,0,0
2023,CIN,-0.007,45.00%,0.029,47.60%,-0.097,38.70%,0.016,46.70%,0.039,48.80%,-0.021,43.30%,#fb4f14,0,0,0,0
2023,CLE,-0.118,38.90%,-0.146,39.40%,-0.081,38.40%,-0.206,34.50%,-0.261,34.00%,-0.121,35.20%,#311D00,1,0,0,0
2023,DAL,0.102,46.30%,0.2,50.10%,-0.059,40.10%,-0.132,42.20%,-0.145,40.60%,-0.112,44.80%,#041E42,1,0,0,0
2023,DEN,-0.025,42.40%,0.017,44.80%,-0.096,38.20%,0.09,47.80%,0.164,50.90%,-0.017,43.30%,#FB4F14,0,0,0,0
2023,DET,0.054,46.80%,0.087,50.40%,0.008,42.00%,-0.023,44.70%,0.025,48.00%,-0.118,38.30%,#0076b6,1,1,1,0
2023,GB,-0.001,42.40%,0.071,44.50%,-0.123,38.70%,-0.003,44.10%,0.048,47.10%,-0.074,40.00%,#203731,1,0,0,0
2023,HOU,0.031,42.20%,0.148,47.40%,-0.151,34.20%,-0.007,43.00%,0.065,46.80%,-0.133,36.40%,#03202f,1,0,0,0
2023,IND,-0.047,40.30%,0.02,43.50%,-0.149,35.60%,-0.028,44.70%,-0.007,45.30%,-0.058,43.90%,#002C5F,0,0,0,0
2023,JAX,-0.041,43.20%,0.042,48.70%,-0.177,34.10%,-0.062,41.10%,-0.045,44.80%,-0.101,32.70%,#006778,0,0,0,0
2023,KC,0.045,44.40%,0.124,49.80%,-0.123,32.90%,-0.091,40.10%,-0.156,38.50%,0.021,42.90%,#E31837,1,1,1,1,61
2023,LA,-0.025,42.80%,-0.003,42.10%,-0.063,44.00%,0.002,43.20%,0.065,47.10%,-0.093,37.50%,#003594,1,0,0,0
2023,LAC,0.058,42.90%,0.173,48.60%,-0.164,32.00%,0.049,45.80%,0.124,49.00%,-0.094,39.70%,#0080C6,0,0,0,0
2023,LV,-0.131,43.00%,-0.078,46.20%,-0.217,37.70%,-0.031,44.20%,-0.008,45.50%,-0.062,42.20%,#000000,0,0,0,0
2023,MIA,0.121,48.70%,0.193,51.50%,0.007,44.30%,-0.029,44.90%,-0.026,46.90%,-0.035,41.50%,#008E97,1,0,0,0
2023,MIN,0.013,44.40%,0.113,47.00%,-0.183,39.20%,-0.056,42.40%,0,44.10%,-0.153,39.50%,#4F2683,0,0,0,0
2023,NE,-0.145,42.10%,-0.157,42.30%,-0.126,41.70%,0.009,42.10%,0.125,48.00%,-0.17,33.10%,#002244,0,0,0,0
2023,NO,-0.03,41.80%,-0.003,43.90%,-0.075,38.50%,-0.076,40.00%,-0.012,43.00%,-0.19,34.80%,#D3BC8D,0,0,0,0
2023,NYG,-0.196,38.20%,-0.192,39.00%,-0.204,36.60%,0.009,45.60%,0.058,48.70%,-0.062,41.20%,#0B2265,0,0,0,0
2023,NYJ,-0.215,36.20%,-0.23,37.10%,-0.183,34.40%,-0.073,39.50%,-0.022,42.30%,-0.14,35.90%,#125740,0,0,0,0
2023,PHI,0.09,46.60%,0.153,47.80%,0.002,45.10%,-0.016,42.60%,0.009,45.10%,-0.088,35.70%,#004C54,1,0,0,0,61
2023,PIT,-0.091,40.50%,-0.13,40.90%,-0.027,40.00%,-0.06,42.30%,-0.044,45.40%,-0.084,37.50%,#FFB612,1,0,0,0
2023,SEA,0.002,44.50%,0.033,48.60%,-0.055,37.10%,-0.02,43.10%,0.012,46.40%,-0.076,37.30%,#002244,0,0,0,0
2023,SF,0.16,50.70%,0.342,57.30%,-0.053,42.90%,-0.085,42.90%,-0.107,43.70%,-0.031,41.00%,#AA0000,1,1,1,0
2023,TB,-0.002,40.20%,0.097,45.60%,-0.191,30.00%,-0.001,44.90%,0.113,48.00%,-0.216,39.10%,#D50A0A,1,0,0,0
2023,TEN,-0.021,40.70%,0.014,41.50%,-0.078,39.50%,0.065,44.20%,0.182,49.50%,-0.104,36.60%,#0C2340,0,0,0,0
2023,WAS,-0.039,42.80%,-0.009,44.10%,-0.118,39.40%,0.053,41.70%,0.154,44.60%,-0.127,36.50%,#5A1414,0,0,0,0
2024,ARI,0.078,47.50%,0.173,51.10%,-0.039,43.20%,0.055,47.70%,0.108,50.10%,-0.024,44.00%,#97233F,,,,
2024,ATL,0.045,47.40%,0.118,49.20%,-0.062,44.80%,0.054,45.70%,0.129,46.20%,-0.06,44.90%,#a71930,,,,
2024,BAL,0.188,49.40%,0.318,52.80%,0.025,45.00%,0.039,41.90%,0.151,46.70%,-0.21,31.00%,#241773,,,,
2024,BUF,0.16,47.10%,0.25,49.80%,0.024,43.00%,-0.038,43.30%,0.019,47.50%,-0.132,36.50%,#00338D,,,,
2024,CAR,-0.143,40.00%,-0.197,38.60%,-0.051,42.40%,0.12,48.30%,0.193,49.70%,0.04,46.70%,#0085CA,,,,
2024,CHI,-0.053,40.90%,-0.038,42.10%,-0.079,38.70%,-0.068,41.10%,-0.092,42.60%,-0.035,39.00%,#0B162A,,,,
2024,CIN,0.101,45.50%,0.21,51.20%,-0.125,33.80%,0.074,46.30%,0.112,46.70%,0.017,45.50%,#fb4f14,,,,
2024,CLE,-0.147,36.40%,-0.142,37.20%,-0.159,34.50%,0.028,41.00%,0.069,42.00%,-0.03,39.60%,#311D00,,,,
2024,DAL,-0.111,40.50%,-0.111,40.80%,-0.112,39.90%,0.1,44.60%,0.12,44.00%,0.078,45.20%,#041E42,,,,
2024,DEN,-0.038,41.80%,-0.016,42.30%,-0.077,41.10%,-0.111,39.60%,-0.091,41.70%,-0.147,36.00%,#FB4F14,,,,
2024,DET,0.154,49.20%,0.259,53.00%,0.042,45.20%,-0.117,41.20%,-0.094,44.50%,-0.167,34.10%,#0076b6,,,,
2024,GB,0.07,42.80%,0.165,46.50%,-0.044,38.50%,-0.024,46.90%,0.013,51.10%,-0.08,40.60%,#203731,,,,
2024,HOU,-0.036,39.00%,0.044,42.70%,-0.166,33.10%,-0.059,38.90%,-0.028,41.00%,-0.11,35.50%,#03202f,,,,
2024,IND,-0.051,38.90%,0.003,41.70%,-0.129,34.70%,-0.022,42.50%,0.056,46.10%,-0.119,38.10%,#002C5F,,,,
2024,JAX,-0.052,40.80%,-0.053,42.70%,-0.051,37.50%,0.172,46.80%,0.332,51.60%,-0.066,39.70%,#006778,,,,
2024,KC,0.071,49.40%,0.136,51.30%,-0.032,46.40%,-0.01,43.70%,0.074,48.30%,-0.169,35.10%,#E31837,,,,,49
2024,LA,0.013,47.70%,0.078,50.60%,-0.09,43.20%,0.023,45.20%,0.101,49.30%,-0.08,39.90%,#003594,,,,
2024,LAC,0.012,39.60%,0.073,42.40%,-0.067,36.00%,-0.101,39.50%,-0.068,40.60%,-0.167,37.20%,#0080C6,,,,
2024,LV,-0.164,40.30%,-0.077,45.80%,-0.346,28.90%,0.05,46.00%,0.129,50.00%,-0.065,40.20%,#000000,,,,
2024,MIA,-0.061,42.60%,0.061,45.50%,-0.222,38.90%,-0.013,43.20%,0.063,47.70%,-0.128,36.40%,#008E97,,,,
2024,MIN,0.016,45.30%,0.117,50.30%,-0.125,38.30%,-0.153,37.60%,-0.084,41.00%,-0.306,30.10%,#4F2683,,,,
2024,NE,-0.089,41.40%,-0.055,45.20%,-0.146,34.70%,0.076,45.30%,0.168,49.00%,-0.046,40.40%,#002244,,,,
2024,NO,-0.023,41.60%,-0.053,40.60%,0.019,43.00%,0.009,44.40%,0.007,44.30%,0.013,44.70%,#D3BC8D,,,,
2024,NYG,-0.061,42.50%,-0.07,42.90%,-0.047,41.90%,0.042,45.00%,0.07,46.60%,0.005,42.90%,#0B2265,,,,
2024,NYJ,-0.011,42.20%,0.043,43.70%,-0.119,39.40%,0.02,42.20%,0.064,41.90%,-0.035,42.70%,#125740,,,,
2024,PHI,0.087,45.50%,0.122,47.20%,0.05,43.70%,-0.089,39.40%,-0.044,40.90%,-0.166,36.80%,#004C54,,,,,80
2024,PIT,-0.005,40.40%,0.085,42.80%,-0.105,37.70%,-0.084,42.00%,-0.048,44.00%,-0.147,38.40%,#FFB612,,,,
2024,SEA,-0.018,45.40%,0.066,49.70%,-0.207,35.80%,0.021,45.00%,0.077,46.50%,-0.057,43.00%,#002244,,,,
2024,SF,0.098,47.20%,0.201,51.30%,-0.047,41.50%,-0.015,44.20%,0.013,45.20%,-0.059,42.60%,#AA0000,,,,
2024,TB,0.095,48.20%,0.147,51.00%,0.003,43.20%,0.09,47.60%,0.172,52.00%,-0.062,39.40%,#D50A0A,,,,
2024,TEN,-0.132,39.10%,-0.123,41.00%,-0.145,36.40%,-0.006,40.50%,0.095,44.30%,-0.144,35.30%,#0C2340,,,,
2024,WAS,0.171,48.40%,0.276,51.00%,0.022,44.70%,0.064,46.00%,0.099,47.60%,0.023,44.10%,#5A1414,,,,