id,home_team_score,away_team_score,date_time,referees,status,home_team_side,stadium.id,home_team.id,away_team.id,competition_edition.season.id,home_team_coach.id,away_team_coach.id,competition_edition.id,competition_edition.competition.id,competition_round.id,start_time,end_time,away_team_kit.id,ball.trackable_object,yellow_card,red_card,goal,own_goal,injured
10000.0,2.0,1.0,2020-10-24T19:00:00Z,[],closed,"['right_to_left', 'left_to_right']",1.0,2.0,746.0,7.0,49.0,570.0,147.0,1.0,12.0,01:15:33,,2661.0,55.0,0,0,0,0,False
,,,,,,,,,,,,,,,,00:54:01,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:22:54,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:22:54,,,0,0,1,0,False
,,,,,,,,,,,,,,,,01:22:54,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:15:33,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:54:01,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:22:54,,,0,0,1,0,False
10017.0,0.0,1.0,2020-10-25T19:15:00Z,[],closed,"['left_to_right', 'right_to_left']",69.0,3.0,62.0,7.0,869.0,166.0,147.0,1.0,12.0,01:25:07,,173.0,55.0,0,0,0,0,False
,,,,,,,,,,,,,,,,01:14:47,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:59:51,,,,0,0,1,0,False
,,,,,,,,,,,,,,,,01:20:46,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:05:05,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:05:05,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:49:09,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:49:09,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:25:07,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:14:47,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:59:51,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:20:46,,,0,0,0,0,False
10013.0,1.0,1.0,2020-10-25T16:30:00Z,[],closed,"['left_to_right', 'right_to_left']",118.0,52.0,32.0,7.0,47.0,760.0,147.0,1.0,12.0,01:27:37,,1210.0,55.0,0,0,0,0,False
,,,,,,,,,,,,,,,,01:18:17,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:18:17,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:22:29,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:07:19,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:07:19,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:07:19,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:27:37,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:18:17,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:18:17,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:22:29,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:07:19,,,0,0,0,0,False
100094.0,2.0,0.0,2022-02-25T20:00:00Z,[],closed,"['right_to_left', 'left_to_right']",143.0,58.0,57.0,8.0,687.0,593.0,287.0,1.0,33.0,,,976.0,55.0,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:31:50,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:31:50,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:22:59,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:20:06,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:20:06,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:22:59,,,0,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:20:16,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:20:16,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:11:36,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:11:36,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:11:36,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:11:36,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
10009.0,2.0,0.0,2020-10-25T14:00:00Z,[],closed,"['right_to_left', 'left_to_right']",143.0,58.0,41.0,7.0,687.0,125.0,147.0,1.0,12.0,00:57:56,,2662.0,55.0,0,0,0,0,False
,,,,,,,,,,,,,,,,00:57:56,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:45:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:28:22,,,0,0,1,0,False
,,,,,,,,,,,,,,,,01:28:22,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:25:29,,,0,0,0,0,False
,,,,,,,,,,,,,,,,01:25:29,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,01:12:45,,,0,1,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:57:56,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:57:56,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,00:45:00,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,1,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,1,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
,,,,,,,,,,,,,,,,00:00:00,,,,0,0,0,0,False
