,team_id,team_name,variable,value
27,8001,ARI,2023_success_rate,40.10
52,8001,ARI,2022_success_rate,42.40
24,8002,ATL,2023_success_rate,41.30
45,8002,ATL,2022_success_rate,46.30
8,8003,BAL,2023_success_rate,47.30
37,8003,BAL,2022_success_rate,47.30
2,8004,BUF,2023_success_rate,51.50
35,8004,BUF,2022_success_rate,50.30
28,8005,CAR,2023_success_rate,38.70
60,8005,CAR,2022_success_rate,38.50
21,8006,CHI,2023_success_rate,44.00
44,8006,CHI,2022_success_rate,42.60
14,8007,CIN,2023_success_rate,44.80
36,8007,CIN,2022_success_rate,48.60
25,8008,CLE,2023_success_rate,39.20
38,8008,CLE,2022_success_rate,46.30
4,8009,DAL,2023_success_rate,46.50
48,8009,DAL,2022_success_rate,44.80
16,8010,DEN,2023_success_rate,42.60
59,8010,DEN,2022_success_rate,38.60
7,8011,DET,2023_success_rate,46.10
47,8011,DET,2022_success_rate,44.70
13,8012,GB,2023_success_rate,42.00
50,8012,GB,2022_success_rate,46.30
9,8013,HOU,2023_success_rate,41.90
61,8013,HOU,2022_success_rate,40.50
20,8014,IND,2023_success_rate,40.30
62,8014,IND,2022_success_rate,41.60
22,8015,JAX,2023_success_rate,43.30
41,8015,JAX,2022_success_rate,47.40
5,8016,KC,2023_success_rate,45.50
32,8016,KC,2022_success_rate,49.10
15,8017,LA,2023_success_rate,42.80
63,8017,LA,2022_success_rate,41.30
6,8018,LAC,2023_success_rate,43.10
51,8018,LAC,2022_success_rate,41.40
26,8019,LV,2023_success_rate,43.80
46,8019,LV,2022_success_rate,42.80
1,8020,MIA,2023_success_rate,50.10
33,8020,MIA,2022_success_rate,48.10
10,8021,MIN,2023_success_rate,44.10
43,8021,MIN,2022_success_rate,46.80
29,8022,NE,2023_success_rate,42.10
56,8022,NE,2022_success_rate,42.50
18,8023,NO,2023_success_rate,41.80
53,8023,NO,2022_success_rate,46.90
31,8024,NYG,2023_success_rate,38.50
39,8024,NYG,2022_success_rate,43.70
30,8025,NYJ,2023_success_rate,37.10
54,8025,NYJ,2022_success_rate,41.10
3,8026,PHI,2023_success_rate,47.20
34,8026,PHI,2022_success_rate,49.40
23,8027,PIT,2023_success_rate,41.10
57,8027,PIT,2022_success_rate,42.40
11,8028,SEA,2023_success_rate,45.60
40,8028,SEA,2022_success_rate,46.10
0,8029,SF,2023_success_rate,50.40
42,8029,SF,2022_success_rate,45.80
12,8030,TB,2023_success_rate,39.10
49,8030,TB,2022_success_rate,45.40
17,8031,TEN,2023_success_rate,40.60
55,8031,TEN,2022_success_rate,42.20
19,8032,WAS,2023_success_rate,42.20
58,8032,WAS,2022_success_rate,40.70