Name,Team,Age,Height,Weight,Dexterity
Patrick Mahomes,KC,28,6'2,225,RHQB
Lamar Jackson,BAL,27,6'2,215,RHQB
Josh Allen,BUF,28,6'5,237,RHQB
Justin Herbert,LAC,26,6'6,236,RHQB
Matthew Stafford,LAR,36,6'3,220,RHQB
Dak Prescott,DAL,31,6'2,238,RHQB
Joe Burrow,CIN,27,6'4,215,RHQB
Trevor Lawrence,JAX,24,6'6,220,RHQB
Aaron Rodgers,NYJ,40,6'2,223,RHQB
Geno Smith,SEA,33,6'3,221,RHQB
CJ Stroud,HOU,22,6'3,218,RHQB
Jordan Love,GB,25,6'4,219,RHQB
Kyler Murray,ARI,27,5'10,207,RHQB
Jared Goff,DET,29,6'4,217,RHQB
Kirk Cousins,ATL,36,6'3,205,RHQB
Brock Purdy,SF,24,6'1,220,RHQB
Jalen Hurts,PHI,26,6'1,223,RHQB
Tua Tagovailoa,MIA,26,6'1,225,LHQB
Derek Carr,NO,33,6'3,215,RHQB
Caleb Williams,CHI,22,6'1,215,RHQB
Anthony Richardson,IND,22,6'4,244,RHQB
Baker Mayfield,TB,29,6'1,215,RHQB
Daniel Jones,NYG,27,6'5,230,RHQB
Deshaun Watson,CLE,28,6'3,223,RHQB
Jacoby Brissett,NE,31,6'4,235,RHQB
Will Levis,TEN,25,6'4,225,RHQB
Russell Wilson,PIT,35,5'11,215,RHQB
Jayden Daniels,WAS,23,6'4,210,RHQB
Sam Darnold,MIN,27,6'3,225,RHQB
Bryce Young,CAR,23,5'10,204,RHQB
Gardner Minshew,LV,28,6'1,225,RHQB
Bo Nix,DEN,24,6'2,217,RHQB